1:ItNr	2:Metric	3:StepSize	4:||Gradient||	Time[ms]
219	-0.529338	53.343367	0.156844	1.4
220	-0.380667	53.267307	0.033580	1.4
221	-0.500777	53.191535	0.155374	1.4
222	-0.347971	53.116051	0.081005	1.4
223	-0.659590	53.040851	0.153444	1.4
224	-0.207208	52.965934	0.028977	2.7
225	-0.227339	52.891299	0.036229	1.8
226	-0.327683	52.816944	0.058545	1.6
227	-0.518133	52.742867	0.117473	1.4
228	-0.187744	52.669066	0.067897	1.4
229	-0.093473	52.595540	0.015911	1.5
230	-0.934911	52.522288	0.226879	1.4
231	-0.227884	52.449306	0.098438	1.4
232	-0.117459	52.376595	0.047350	1.4
233	-0.401240	52.304151	0.142918	1.9
234	-0.198887	52.231974	0.047883	1.4
235	-0.533234	52.160062	0.034836	1.6
236	-0.241993	52.088414	0.035936	1.4
237	-0.244244	52.017027	0.048711	1.7
238	-0.299082	51.945901	0.075274	1.4
239	-0.273384	51.875033	0.076457	1.4
240	-0.608594	51.804423	0.223828	1.4
241	-0.424924	51.734069	0.098517	2.2
242	-0.067994	51.663968	0.018583	1.5
243	-0.292685	51.594120	0.047891	2.6
244	-0.452323	51.524524	0.054375	1.4
245	-0.284161	51.455177	0.074547	1.4
246	-0.078076	51.386079	0.007153	1.4
247	-0.610648	51.317228	0.066891	1.4
248	-0.166434	51.248622	0.037664	1.4
249	-0.276341	51.180260	0.011741	1.4
250	-0.348321	51.112141	0.038576	1.4
251	-0.266417	51.044263	0.041027	1.4
252	-0.907440	50.976624	0.333569	1.4
253	-0.272700	50.909225	0.035124	1.4
254	-0.178802	50.842062	0.015934	2.2
255	-0.067060	50.775135	0.026786	1.4
256	-0.171927	50.708443	0.047221	1.4
257	-0.386818	50.641984	0.024965	1.4
258	-0.059062	50.575756	0.012270	1.4
259	-0.001377	50.509759	0.001338	1.4
260	-0.334284	50.443991	0.050457	1.4
261	-0.219933	50.378451	0.033340	1.4
262	-0.209557	50.313138	0.020380	2.6
263	-0.337694	50.248049	0.024227	1.9
264	-0.236955	50.183185	0.029924	1.6
265	-0.394951	50.118544	0.043306	1.9
266	-0.145246	50.054124	0.023940	1.9
267	-0.000000	49.989925	0.000000	1.4
268	-0.239062	49.925945	0.075549	1.4
